"x"
"FKBP4"
"SLC25A23"
"ACP6"
"ECI1"
"AADAT"
"ACSF2"
"RTN4IP1"
"PYCR2"
"GSTZ1"
"PRODH"
"BCKDHB"
"MTCH1"
"LETM1"
"ACADSB"
"ALDH1L2"
"PDE2A"
"MCCC1"
"ALDH4A1"
"ME2"
"ISCU"
"ACADM"
"LARS2"
"HINT2"
"ATPAF2"
"OAT"
"OGDHL"
"QRSL1"
"ATP5D"
"ETFDH"
"NOL3"
"GCDH"
"FH"
"NDUFS8"
"PYCR1"
"ALDH2"
"ETFA"
"CCDC90B"
"SLC25A24"
"SCP2"
"PPM1K"
"HADH"
"OXCT1"
"ACSF3"
"COX4I1"
"ETHE1"
"NDUFA4"
"SIRT2"
"TIMM9"
"D2HGDH"
"IDH1"
"NDUFA5"
"TIMM10"
"BCKDK"
"NDUFAB1"
"NDUFA8"
"GBAS"
"NDUFB5"
